Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella	70363	2.75064006454e-06	0.0	1.78673272337e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	319938	8.061483302e-06	9.43926326548e-06	1.1068428743e-06	1.47801866233e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4401110	8.41175162088e-05	7.13077955697e-05	5.28260254687e-05	4.4290836693e-05
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis	4365130	0.0251712609959	0.0271570916049	0.0146529116885	0.0178154762324
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	198690	0.0	2.22505935224e-06	0.0	1.46716068901e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae	840374	0.0	2.18201945118e-06	0.0	1.43878101868e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio	260128	1.91310673324e-06	0.0	1.2426963628e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	273376	1.64143557636e-06	0.0	1.06622698309e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4212517	0.0	2.60240337939e-06	0.0	2.25369600921e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	194993	5.78239929753e-06	8.82923686602e-06	7.06064390533e-07	1.21435813187e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	194997	3.79861816001e-06	0.0	3.49665833737e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,faecis	2532173	0.00313551104282	0.00260534457588	0.00162871515213	0.00123140185237
Bacteria,Firmicutes,Clostridia,Clostridiales	188548	4.55766592334e-06	4.31041355726e-06	4.1943138437e-07	4.02741512149e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	189630	2.26218077939e-05	1.93255006744e-05	4.51701450742e-06	4.1253790305e-06
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,kestanbolensis	2772150	3.84429167703e-06	7.3103623022e-06	2.49713578525e-07	9.44804342195e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	320395	9.86914320429e-06	1.1135799969e-05	1.77378370263e-06	2.00646896004e-06
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium	937961	1.84306051281e-06	2.7915894739e-06	1.19719645323e-07	1.84071958883e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	1107799	2.36142128204e-06	0.0	1.53390795571e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	317515	2.49196947867e-06	0.0	1.618708122e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	271107	2.86919178313e-06	0.0	2.63099559238e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri	524891	2.6872191333e-06	0.0	1.74553640159e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	573407	3.28345440395e-06	0.0	2.13283282856e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	183107	3.40801115689e-06	2.03548711004e-06	2.21374113397e-07	1.34216045421e-07
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus	590168	2.75064006454e-06	0.0	1.78673272337e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4468466	0.0069196125481	0.00419132281596	0.00261991712005	0.00174657961957
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	180450	2.86035428309e-06	5.1461021118e-06	1.85799976664e-07	4.79200890047e-07
