Features	Feature IDs	Omnivore (mean)	Veggie (std)	Omnivore (std)	Veggie (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	188956	4.28309629744e-08	2.90858696486e-06	1.26249702581e-06	2.24910792476e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	198420	1.9326252715e-05	6.39722031419e-05	6.51422908904e-05	2.49664067813e-05
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	2208658	1.61820569437e-08	0.0	8.23219901611e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	589234	1.86657090411e-08	0.0	9.49569218168e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	654696	1.93947218737e-06	1.37764729765e-05	1.5207715373e-05	2.10665140061e-06
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus	249492	6.58325085746e-08	2.55855112958e-06	1.70154810224e-06	1.44158024874e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio	660676	1.57823571287e-09	1.51753031252e-06	8.02886216992e-08	8.55031466868e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	3392840	3.33973648823e-05	0.000193275286015	0.000159529597554	5.47510270029e-05
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7	292591	3.77526081323e-08	0.0	1.36272956666e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	191395	7.23468329189e-06	2.75091259818e-05	4.43430251977e-05	6.998723793e-06
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,echinoides	4453466	2.66708950533e-08	0.0	1.03707471418e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	181452	2.31324780685e-05	8.33041376252e-05	8.01212187264e-05	2.98708175817e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	309161	1.71339004209e-08	0.0	8.71642453602e-07	0.0
