Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	296113	2.20696890913e-06	3.61125419402e-06	1.43358035834e-07	2.3811905e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	1600780	2.82635898618e-06	0.0	1.83591744834e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7	264835	0.0	2.42627596168e-06	0.0	1.5998389922e-07
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira	568229	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	111066	3.13012590166e-06	4.84095310394e-06	2.03323526362e-07	4.45500176608e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	356360	0.000102221533451	0.00012771174689	5.42727929257e-05	6.89957645804e-05
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	354850	2.59909393328e-05	2.60114625651e-05	1.08890238091e-05	1.01607830639e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	348377	3.30238229555e-06	2.81495985648e-06	2.97353798236e-07	2.61033688913e-07
Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067	4357676	2.94755305344e-06	0.0	1.91464145467e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	191683	8.45727386818e-05	8.40806202271e-05	4.3399636816e-05	3.55655564661e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4352760	2.85429581492e-06	0.0	1.85406436867e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	1028632	0.000123810136423	0.000547141945792	5.09513963719e-05	9.53802480309e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	180285	0.01823401109	0.0226862920767	0.0120689935843	0.013834488441
Bacteria,Firmicutes,Clostridia,Clostridiales	321353	2.49196947867e-06	0.0	1.618708122e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	178864	9.8573684483e-07	0.0	6.40304887575e-08	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	659047	2.70068271712e-06	0.0	1.75428193907e-07	0.0
Bacteria,Cyanobacteria,4C0d-2,YS2	527762	3.98909305004e-06	3.45335729706e-06	3.66988866632e-07	2.81419491243e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	191442	5.00375094725e-05	6.58557408502e-05	2.39159696498e-05	3.30183949857e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	310284	2.47841111758e-06	0.0	1.60990102007e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	175535	0.000229521413868	0.000185310690219	0.000135172963999	9.12011310227e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae	4434375	2.29018735865e-06	0.0	1.48763655016e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium	584463	7.24778748526e-05	8.71827289128e-05	2.30468714753e-05	3.11864836627e-05
